"DateTime","SBILIFE","SBILIFE - PE"
"2019-05-13 04:00:00",620,46.82
"2019-05-14 04:00:00",615.6,46.55
"2019-05-15 04:00:00",628.85,47.94
"2019-05-16 04:00:00",630.95,47.72
"2019-05-17 04:00:00",629.75,47.32
"2019-05-20 04:00:00",645.7,48.75
"2019-05-21 04:00:00",659.7,49.82
"2019-05-22 04:00:00",659.65,49.7
"2019-05-23 04:00:00",671.4,50.85
"2019-05-24 04:00:00",686,51.8
"2019-05-27 04:00:00",698.9,52.81
"2019-05-28 04:00:00",698.75,52.82
"2019-05-29 04:00:00",680,51.38
"2019-05-30 04:00:00",679.9,51.45
"2019-05-31 04:00:00",694.25,52.58
"2019-06-03 04:00:00",695.6,52.4
"2019-06-04 04:00:00",698.4,52.82
"2019-06-06 04:00:00",696.35,52.82
"2019-06-07 04:00:00",698.45,52.82
"2019-06-10 04:00:00",699.1,52.82
"2019-06-11 04:00:00",701,52.89
"2019-06-12 04:00:00",699.95,52.89
"2019-06-13 04:00:00",699.35,52.89
"2019-06-14 04:00:00",699.55,52.89
"2019-06-17 04:00:00",700,52.89
"2019-06-18 04:00:00",704.05,53.18
"2019-06-19 04:00:00",696.3,52.13
"2019-06-20 04:00:00",698.45,52.84
"2019-06-21 04:00:00",699.95,52.72
"2019-06-24 04:00:00",710.6,53.67
"2019-06-25 04:00:00",674.35,51.38
"2019-06-26 04:00:00",717.45,54.1
"2019-06-27 04:00:00",726.95,55.46
"2019-06-28 04:00:00",723.7,54.68
"2019-07-01 04:00:00",735.9,55.61
"2019-07-02 04:00:00",749.8,56.66
"2019-07-03 04:00:00",756.9,57.19
"2019-07-04 04:00:00",757.4,57.23
"2019-07-05 04:00:00",753.55,56.94
"2019-07-08 04:00:00",759.2,57.37
"2019-07-09 04:00:00",759,57.35
"2019-07-10 04:00:00",741.95,56.06
"2019-07-11 04:00:00",754.1,56.98
"2019-07-12 04:00:00",780.7,58.99
"2019-07-15 04:00:00",783.55,59.21
"2019-07-16 04:00:00",775.85,58.63
"2019-07-17 04:00:00",765.25,57.82
"2019-07-18 04:00:00",740.85,55.98
"2019-07-19 04:00:00",744.85,56.28
"2019-07-22 04:00:00",762.15,57.59
"2019-07-23 04:00:00",775.95,57.87
"2019-07-24 04:00:00",772.5,57.61
"2019-07-25 04:00:00",797.4,59.47
"2019-07-26 04:00:00",795.1,59.29
"2019-07-29 04:00:00",797.35,59.46
"2019-07-30 04:00:00",797.4,59.47
"2019-07-31 04:00:00",797.55,59.48
"2019-08-01 04:00:00",777,57.94
"2019-08-02 04:00:00",791.65,59.04
"2019-08-05 04:00:00",790.4,58.94
"2019-08-06 04:00:00",787.2,58.7
"2019-08-07 04:00:00",786.55,58.66
"2019-08-08 04:00:00",812.9,60.62
"2019-08-09 04:00:00",801.7,59.79
"2019-08-13 04:00:00",771.25,57.52
"2019-08-14 04:00:00",812.15,60.57
"2019-08-16 04:00:00",835.35,62.3
"2019-08-19 04:00:00",849.9,63.38
"2019-08-20 04:00:00",853.85,63.68
"2019-08-21 04:00:00",829.45,61.86
"2019-08-22 04:00:00",815.2,60.79
"2019-08-23 04:00:00",821.25,61.24
"2019-08-26 04:00:00",827.1,61.68
"2019-08-27 04:00:00",834.25,62.21
"2019-08-28 04:00:00",828.45,61.78
"2019-08-29 04:00:00",835.1,62.28
"2019-08-30 04:00:00",838.7,62.55
"2019-09-03 04:00:00",811.2,60.49
"2019-09-04 04:00:00",826.4,61.63
"2019-09-05 04:00:00",831.25,61.99
"2019-09-06 04:00:00",835.55,62.31
"2019-09-09 04:00:00",806.8,60.17
"2019-09-11 04:00:00",799.65,59.63
"2019-09-12 04:00:00",792.85,59.13
"2019-09-13 04:00:00",798.3,59.53
"2019-09-16 04:00:00",796.45,59.39
"2019-09-17 04:00:00",798.2,59.53
"2019-09-18 04:00:00",802.95,59.88
"2019-09-19 04:00:00",801.85,59.8
"2019-09-20 04:00:00",816.15,60.86
"2019-09-23 04:00:00",791.7,60.86
"2019-09-24 04:00:00",795.15,60.86
"2019-09-25 04:00:00",796.55,59.4
"2019-09-26 04:00:00",816.4,60.88
"2019-09-27 04:00:00",842.5,62.83
"2019-09-30 04:00:00",846.4,63.12
"2019-10-01 04:00:00",827.65,61.72
"2019-10-03 04:00:00",830.65,61.95
"2019-10-04 04:00:00",824.25,61.47
