"DateTime","JIOFIN","JIOFIN - PB"
"2024-08-19 04:00:00",331.45,1.51
"2024-08-20 04:00:00",334.15,1.53
"2024-08-21 04:00:00",331.1,1.51
"2024-08-22 04:00:00",329.6,1.5
"2024-08-23 04:00:00",327.15,1.49
"2024-08-26 04:00:00",323.25,1.48
"2024-08-27 04:00:00",323.6,1.48
"2024-08-28 04:00:00",322.25,1.47
"2024-08-29 04:00:00",325.65,1.49
"2024-08-30 04:00:00",321.7,1.47
"2024-09-02 04:00:00",344.9,1.57
"2024-09-03 04:00:00",350.2,1.6
"2024-09-04 04:00:00",347.2,1.59
"2024-09-05 04:00:00",345.35,1.58
"2024-09-06 04:00:00",336.85,1.54
"2024-09-09 04:00:00",341.7,1.56
"2024-09-10 04:00:00",351.5,1.6
"2024-09-11 04:00:00",344.3,1.57
"2024-09-12 04:00:00",349.8,1.6
"2024-09-13 04:00:00",351.9,1.61
"2024-09-16 04:00:00",348.8,1.59
"2024-09-17 04:00:00",351.65,1.61
"2024-09-18 04:00:00",346.9,1.58
"2024-09-19 04:00:00",346.65,1.58
"2024-09-20 04:00:00",353.9,1.62
"2024-09-23 04:00:00",354.25,1.62
"2024-09-24 04:00:00",352.45,1.61
"2024-09-25 04:00:00",352.8,1.61
"2024-09-26 04:00:00",349.85,1.6
"2024-09-27 04:00:00",359.15,1.64
"2024-09-30 04:00:00",350.6,1.6
"2024-10-01 04:00:00",351,1.6
"2024-10-03 04:00:00",345.6,1.58
"2024-10-04 04:00:00",338.8,1.55
"2024-10-07 04:00:00",336.35,1.54
"2024-10-08 04:00:00",345.6,1.58
"2024-10-09 04:00:00",343,1.57
"2024-10-10 04:00:00",343.8,1.57
"2024-10-11 04:00:00",341.5,1.56
"2024-10-14 04:00:00",340.05,1.55
"2024-10-15 04:00:00",336.75,1.54
"2024-10-16 04:00:00",333.65,1.52
"2024-10-17 04:00:00",329.15,1.5
"2024-10-18 04:00:00",330.35,1.51
"2024-10-21 04:00:00",327.2,1.49
"2024-10-22 04:00:00",314.05,1.43
"2024-10-23 04:00:00",314.7,1.44
"2024-10-24 04:00:00",316.1,1.44
"2024-10-25 04:00:00",311.2,1.42
"2024-10-28 04:00:00",316.65,1.45
"2024-10-29 04:00:00",326.2,1.49
"2024-10-30 04:00:00",319.95,1.46
"2024-10-31 04:00:00",322.3,1.47
"2024-11-01 04:00:00",326.2,1.49
"2024-11-04 04:00:00",319.85,1.46
"2024-11-05 04:00:00",321.9,1.47
"2024-11-06 04:00:00",326.05,1.49
"2024-11-07 04:00:00",321.55,1.47
"2024-11-08 04:00:00",316.05,1.44
"2024-11-11 04:00:00",312,1.42
"2024-11-12 04:00:00",310.25,1.42
"2024-11-13 04:00:00",299.4,1.37
"2024-11-14 04:00:00",318.35,1.45
"2024-11-18 04:00:00",318.8,1.46
"2024-11-19 04:00:00",319.35,1.46
"2024-11-21 04:00:00",314.2,1.43
"2024-11-22 04:00:00",313.8,1.43
"2024-11-25 04:00:00",323.25,1.48
"2024-11-26 04:00:00",326.05,1.49
"2024-11-27 04:00:00",328.9,1.5
"2024-11-28 04:00:00",325.45,1.49
"2024-11-29 04:00:00",328.35,1.5
"2024-12-02 04:00:00",329.7,1.51
"2024-12-03 04:00:00",340.35,1.55
"2024-12-04 04:00:00",345.2,1.58
"2024-12-05 04:00:00",341.5,1.56
"2024-12-06 04:00:00",338.9,1.55
"2024-12-09 04:00:00",336.85,1.54
"2024-12-10 04:00:00",335.1,1.53
"2024-12-11 04:00:00",343,1.57
"2024-12-12 04:00:00",338.3,1.54
"2024-12-13 04:00:00",339.75,1.55
"2024-12-16 04:00:00",340.35,1.55
"2024-12-17 04:00:00",337.1,1.54
"2024-12-18 04:00:00",324.6,1.48
"2024-12-19 04:00:00",313,1.43
"2024-12-20 04:00:00",304.3,1.39
"2024-12-23 04:00:00",304.7,1.39
"2024-12-24 04:00:00",304.7,1.39
"2024-12-26 04:00:00",305.55,1.4
"2024-12-27 04:00:00",304.95,1.39
"2024-12-30 04:00:00",306.25,1.4
"2024-12-31 04:00:00",298.7,1.36
"2025-01-01 04:00:00",304.45,1.39
"2025-01-02 04:00:00",304.7,1.39
"2025-01-03 04:00:00",307.45,1.4
"2025-01-06 04:00:00",296.7,1.35
"2025-01-07 04:00:00",299.15,1.37
"2025-01-08 04:00:00",298.6,1.36
"2025-01-09 04:00:00",289.25,1.32
"2025-01-10 04:00:00",280.55,1.28
"2025-01-13 04:00:00",266.15,1.22
"2025-01-14 04:00:00",272.85,1.25
"2025-01-15 04:00:00",272.4,1.24
"2025-01-16 04:00:00",276.8,1.26
"2025-01-17 04:00:00",279,1.27
"2025-01-20 04:00:00",275.7,1.26
"2025-01-21 04:00:00",260.1,1.19
"2025-01-22 04:00:00",262.8,1.2
"2025-01-23 04:00:00",255.85,1.17
"2025-01-24 04:00:00",244.45,1.12
"2025-01-27 04:00:00",233.3,1.07
"2025-01-28 04:00:00",233.4,1.07
"2025-01-29 04:00:00",238.3,1.09
"2025-01-30 04:00:00",234.8,1.07
"2025-01-31 04:00:00",241.65,1.1
"2025-02-01 04:00:00",241.51,1.1
"2025-02-03 04:00:00",233.97,1.07
"2025-02-04 04:00:00",245.1,1.12
"2025-02-05 04:00:00",249.82,1.14
"2025-02-06 04:00:00",250.48,1.14
"2025-02-07 04:00:00",249.45,1.14
"2025-02-10 04:00:00",242.96,1.11
"2025-02-11 04:00:00",235.94,1.08
"2025-02-12 04:00:00",227.62,1.04
"2025-02-13 04:00:00",228.06,1.04
"2025-02-14 04:00:00",222.29,1.01
"2025-02-17 04:00:00",222.45,1.02
"2025-02-18 04:00:00",221.02,1.01
"2025-02-19 04:00:00",228.92,1.05
"2025-02-20 04:00:00",235.27,1.07
"2025-02-21 04:00:00",233.67,1.07
"2025-02-24 04:00:00",228.45,1.04
"2025-02-25 04:00:00",226.32,1.03
"2025-02-27 04:00:00",221.7,1.01
"2025-02-28 04:00:00",207.61,0.95
"2025-03-03 04:00:00",200.92,0.92
"2025-03-04 04:00:00",206.38,0.94
"2025-03-05 04:00:00",217.1,0.99
"2025-03-06 04:00:00",219.94,1
"2025-03-07 04:00:00",221.81,1.01
"2025-03-10 04:00:00",216.5,0.99
"2025-03-11 04:00:00",217.56,0.99
"2025-03-12 04:00:00",225.53,1.03
"2025-03-13 04:00:00",222.6,1.02
"2025-03-17 04:00:00",219.52,1
"2025-03-18 04:00:00",225.18,1.03
"2025-03-19 04:00:00",228.84,1.04
"2025-03-20 04:00:00",231.69,1.06
"2025-03-21 04:00:00",229.12,1.05
"2025-03-24 04:00:00",232.68,1.06
"2025-03-25 04:00:00",227.53,1.04
"2025-03-26 04:00:00",222.67,1.02
"2025-03-27 04:00:00",225.78,1.03
"2025-03-28 04:00:00",227.51,1.04
"2025-04-01 04:00:00",230.42,1.05
"2025-04-02 04:00:00",229.78,1.05
"2025-04-03 04:00:00",230.41,1.05
"2025-04-04 04:00:00",222.32,1.02
"2025-04-07 04:00:00",213.52,0.97
"2025-04-08 04:00:00",224.81,1.03
"2025-04-09 04:00:00",220.92,1.01
"2025-04-11 04:00:00",230.02,1.05
"2025-04-15 04:00:00",238.57,1.09
"2025-04-16 04:00:00",242.28,1.11
"2025-04-17 04:00:00",246.47,1.27
"2025-04-21 04:00:00",246.38,1.27
"2025-04-22 04:00:00",250.56,1.29
"2025-04-23 04:00:00",258.14,1.33
"2025-04-24 04:00:00",258.78,1.33
"2025-04-25 04:00:00",253.05,1.3
"2025-04-28 04:00:00",257.9,1.33
"2025-04-29 04:00:00",257.63,1.33
"2025-04-30 04:00:00",260.42,1.34
"2025-05-02 04:00:00",258.8,1.33
"2025-05-05 04:00:00",260.6,1.34
"2025-05-06 04:00:00",251.2,1.29
"2025-05-07 04:00:00",256.1,1.32
"2025-05-08 04:00:00",251.45,1.29
